Library_Imports,Data_Type,Preprocessing_Techniques,Model_Type,Optimizer,Loss_Function,Epochs,Batch_Size,Validation_Technique,Evaluation_Metrics,Code_ID
"pandas, tensorflow, transformers",Text,Scaling,Random Forest,Adam,categorical_crossentropy,15,32,Validation Split,"Precision, Recall",code_371.py
"tensorflow, scikit-learn",Tabular,Tokenization,CNN,SGD,categorical_crossentropy,15,16,Cross-Validation,"Precision, Recall",code_372.py
"pandas, tensorflow, transformers",Audio,Image Augmentation,Random Forest,,,20,16,,"Accuracy, Recall",code_373.py
"tensorflow, numpy",Audio,Scaling,Transformer,,,18,16,,"Accuracy, Precision",code_374.py
"pandas, scikit-learn",Image,Image Augmentation,CNN,SGD,mean_squared_error,15,32,Validation Split,Accuracy,code_375.py
"pandas, numpy, tensorflow, sklearn",Text,Tokenization,CNN,Adam,categorical_crossentropy,25,32,Validation Split,"Accuracy, Precision",code_376.py
"pandas, tensorflow, transformers",Tabular,Tokenization,CNN,RMSprop,categorical_crossentropy,25,32,Validation Split,Accuracy,code_377.py
"pandas, scikit-learn",Image,Image Augmentation,CNN,SGD,mean_squared_error,25,32,Cross-Validation,Accuracy,code_378.py
"pandas, numpy, tensorflow, sklearn",Image,Scaling,Transformer,,,25,64,,"Accuracy, Precision",code_379.py
"tensorflow, keras",Audio,Tokenization,CNN,SGD,mean_squared_error,20,32,Validation Split,"Precision, Recall",code_380.py
"pandas, scikit-learn",Text,Tokenization,Transformer,RMSprop,categorical_crossentropy,10,64,Cross-Validation,"Accuracy, Precision",code_381.py
"pandas, scikit-learn",Audio,Scaling,Transformer,RMSprop,categorical_crossentropy,8,16,Cross-Validation,"Accuracy, Recall",code_382.py
"tensorflow, numpy",Audio,Tokenization,CNN,RMSprop,categorical_crossentropy,12,16,Validation Split,"Accuracy, Recall",code_383.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,Transformer,,,25,16,,Accuracy,code_384.py
"tensorflow, keras",Tabular,Tokenization,Transformer,Adam,categorical_crossentropy,10,32,Cross-Validation,"Accuracy, Recall",code_385.py
"pandas, tensorflow, transformers",Text,Tokenization,Random Forest,,,18,64,,"Accuracy, Recall",code_386.py
"tensorflow, scikit-learn",Tabular,Scaling,CNN,,,8,32,,"Accuracy, Recall",code_387.py
"tensorflow, scikit-learn",Image,Tokenization,Random Forest,RMSprop,mean_squared_error,12,32,Cross-Validation,Accuracy,code_388.py
"tensorflow, keras, sklearn",Audio,Tokenization,RNN,SGD,mean_squared_error,10,16,Cross-Validation,"Accuracy, Precision",code_389.py
"tensorflow, keras",Text,Tokenization,RNN,Adam,categorical_crossentropy,8,16,Validation Split,Accuracy,code_390.py
"tensorflow, keras",Audio,Tokenization,Transformer,SGD,categorical_crossentropy,25,32,Cross-Validation,"Accuracy, Recall",code_391.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,CNN,SGD,categorical_crossentropy,20,32,Validation Split,"Accuracy, Precision",code_392.py
"pandas, tensorflow, transformers",Audio,Tokenization,CNN,RMSprop,mean_squared_error,25,16,Cross-Validation,"Accuracy, Recall",code_393.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,RNN,Adam,categorical_crossentropy,25,16,Cross-Validation,"Accuracy, Recall",code_394.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Random Forest,,,18,32,,"Accuracy, Precision",code_395.py
"tensorflow, scikit-learn",Text,Image Augmentation,CNN,RMSprop,categorical_crossentropy,10,64,Validation Split,Accuracy,code_396.py
"pandas, scikit-learn",Text,Tokenization,RNN,,,10,16,,"Precision, Recall",code_397.py
"tensorflow, keras",Image,Image Augmentation,Random Forest,SGD,categorical_crossentropy,18,16,Validation Split,Accuracy,code_398.py
"tensorflow, keras, sklearn",Tabular,Tokenization,Random Forest,Adam,mean_squared_error,15,16,Cross-Validation,"Accuracy, Recall",code_399.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,CNN,Adam,mean_squared_error,10,16,Validation Split,"Accuracy, Precision",code_400.py
"tensorflow, numpy",Tabular,Scaling,RNN,,,12,32,,"Accuracy, Precision",code_401.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,RNN,SGD,mean_squared_error,20,32,Validation Split,"Precision, Recall",code_402.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Transformer,Adam,categorical_crossentropy,15,32,Validation Split,"Accuracy, Recall",code_403.py
"tensorflow, keras",Audio,Image Augmentation,Transformer,Adam,mean_squared_error,12,16,Cross-Validation,"Accuracy, Precision",code_404.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,RNN,RMSprop,mean_squared_error,8,32,Cross-Validation,Accuracy,code_405.py
"pandas, scikit-learn",Image,Image Augmentation,CNN,Adam,categorical_crossentropy,20,16,Cross-Validation,"Accuracy, Precision",code_406.py
"pandas, scikit-learn",Tabular,Scaling,CNN,SGD,categorical_crossentropy,8,64,Validation Split,"Accuracy, Precision",code_407.py
"tensorflow, keras, sklearn",Audio,Tokenization,RNN,SGD,categorical_crossentropy,8,32,Cross-Validation,Accuracy,code_408.py
"tensorflow, scikit-learn",Audio,Scaling,RNN,SGD,mean_squared_error,20,16,Cross-Validation,Accuracy,code_409.py
"tensorflow, scikit-learn",Image,Image Augmentation,Transformer,RMSprop,mean_squared_error,18,16,Cross-Validation,"Accuracy, Precision",code_410.py
"pandas, numpy, tensorflow, sklearn",Image,Image Augmentation,Transformer,Adam,mean_squared_error,15,32,Cross-Validation,"Accuracy, Recall",code_411.py
"tensorflow, keras",Text,Scaling,Random Forest,SGD,mean_squared_error,18,32,Validation Split,"Precision, Recall",code_412.py
"pandas, tensorflow, transformers",Text,Tokenization,Random Forest,RMSprop,categorical_crossentropy,10,16,Validation Split,"Accuracy, Precision",code_413.py
"tensorflow, scikit-learn",Image,Image Augmentation,CNN,,,15,16,,"Precision, Recall",code_414.py
"tensorflow, keras",Text,Image Augmentation,Random Forest,Adam,categorical_crossentropy,8,32,Cross-Validation,Accuracy,code_415.py
"tensorflow, keras, sklearn",Audio,Scaling,Random Forest,,,12,32,,Accuracy,code_416.py
"tensorflow, scikit-learn",Audio,Scaling,RNN,Adam,categorical_crossentropy,20,32,Validation Split,"Accuracy, Precision",code_417.py
"tensorflow, keras",Text,Scaling,Transformer,,,25,16,,"Precision, Recall",code_418.py
"pandas, tensorflow, transformers",Audio,Image Augmentation,RNN,SGD,categorical_crossentropy,18,32,Validation Split,"Precision, Recall",code_419.py
"tensorflow, keras",Image,Tokenization,Transformer,SGD,mean_squared_error,20,32,Cross-Validation,"Accuracy, Recall",code_420.py
"tensorflow, keras, sklearn",Audio,Tokenization,CNN,,,18,32,,"Precision, Recall",code_421.py
"pandas, tensorflow, transformers",Text,Scaling,CNN,SGD,categorical_crossentropy,18,16,Validation Split,"Precision, Recall",code_422.py
"pandas, scikit-learn",Text,Scaling,Transformer,,,15,16,,Accuracy,code_423.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,Transformer,SGD,categorical_crossentropy,10,32,Validation Split,"Accuracy, Recall",code_424.py
"pandas, numpy, tensorflow, sklearn",Tabular,Tokenization,Random Forest,Adam,mean_squared_error,15,64,Cross-Validation,"Accuracy, Recall",code_425.py
"tensorflow, scikit-learn",Text,Scaling,Random Forest,,,8,64,,"Accuracy, Precision",code_426.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,RNN,SGD,categorical_crossentropy,15,32,Cross-Validation,"Accuracy, Precision",code_427.py
"tensorflow, keras",Image,Tokenization,Transformer,,,12,32,,"Precision, Recall",code_428.py
"tensorflow, keras, sklearn",Tabular,Scaling,Transformer,,,15,64,,"Precision, Recall",code_429.py
"tensorflow, scikit-learn",Image,Tokenization,RNN,SGD,categorical_crossentropy,10,16,Validation Split,"Accuracy, Precision",code_430.py
"pandas, scikit-learn",Tabular,Scaling,CNN,,,12,16,,"Precision, Recall",code_431.py
"pandas, tensorflow, transformers",Image,Tokenization,Transformer,,,25,16,,Accuracy,code_432.py
"pandas, scikit-learn",Audio,Tokenization,RNN,RMSprop,mean_squared_error,25,32,Cross-Validation,Accuracy,code_433.py
"tensorflow, keras",Audio,Tokenization,RNN,,,8,32,,"Precision, Recall",code_434.py
"pandas, scikit-learn",Tabular,Tokenization,CNN,RMSprop,categorical_crossentropy,18,64,Validation Split,Accuracy,code_435.py
"pandas, scikit-learn",Image,Tokenization,Random Forest,,,8,32,,Accuracy,code_436.py
"tensorflow, scikit-learn",Audio,Image Augmentation,RNN,RMSprop,categorical_crossentropy,12,64,Validation Split,"Precision, Recall",code_437.py
"pandas, scikit-learn",Audio,Tokenization,Transformer,SGD,categorical_crossentropy,12,32,Validation Split,Accuracy,code_438.py
"pandas, tensorflow, transformers",Text,Image Augmentation,Transformer,RMSprop,categorical_crossentropy,18,32,Cross-Validation,"Accuracy, Recall",code_439.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,CNN,RMSprop,mean_squared_error,25,64,Cross-Validation,"Accuracy, Recall",code_440.py
"pandas, scikit-learn",Image,Tokenization,Transformer,,,20,16,,"Accuracy, Recall",code_441.py
"tensorflow, numpy",Tabular,Image Augmentation,Transformer,RMSprop,mean_squared_error,8,64,Validation Split,"Accuracy, Recall",code_442.py
"tensorflow, keras",Image,Tokenization,Transformer,SGD,categorical_crossentropy,8,16,Cross-Validation,"Accuracy, Recall",code_443.py
"tensorflow, keras, sklearn",Tabular,Scaling,Random Forest,,,25,16,,Accuracy,code_444.py
"pandas, scikit-learn",Tabular,Tokenization,Transformer,RMSprop,mean_squared_error,12,32,Cross-Validation,"Precision, Recall",code_445.py
"pandas, scikit-learn",Tabular,Tokenization,CNN,SGD,categorical_crossentropy,18,64,Validation Split,"Accuracy, Precision",code_446.py
"tensorflow, keras",Audio,Scaling,RNN,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Accuracy, Precision",code_447.py
"tensorflow, keras",Text,Tokenization,CNN,,,18,16,,"Accuracy, Precision",code_448.py
"tensorflow, keras",Audio,Scaling,CNN,RMSprop,mean_squared_error,12,16,Cross-Validation,"Accuracy, Recall",code_449.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Random Forest,Adam,mean_squared_error,12,16,Cross-Validation,"Precision, Recall",code_450.py
"tensorflow, numpy",Image,Image Augmentation,Random Forest,SGD,categorical_crossentropy,8,64,Cross-Validation,Accuracy,code_451.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,,,20,64,,Accuracy,code_452.py
"tensorflow, numpy",Audio,Image Augmentation,Random Forest,,,25,16,,"Precision, Recall",code_453.py
"tensorflow, numpy",Tabular,Scaling,RNN,RMSprop,mean_squared_error,12,16,Validation Split,"Accuracy, Precision",code_454.py
"pandas, scikit-learn",Audio,Image Augmentation,CNN,,,20,64,,"Accuracy, Precision",code_455.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,RNN,SGD,mean_squared_error,8,16,Validation Split,"Precision, Recall",code_456.py
"tensorflow, numpy",Tabular,Tokenization,RNN,SGD,categorical_crossentropy,8,32,Cross-Validation,"Accuracy, Precision",code_457.py
"tensorflow, keras",Audio,Image Augmentation,RNN,,,8,32,,"Accuracy, Precision",code_458.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,,,8,32,,Accuracy,code_459.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,Random Forest,SGD,categorical_crossentropy,25,32,Validation Split,"Precision, Recall",code_460.py
"tensorflow, scikit-learn",Audio,Tokenization,RNN,RMSprop,categorical_crossentropy,8,32,Validation Split,"Precision, Recall",code_461.py
"pandas, scikit-learn",Image,Tokenization,RNN,,,25,16,,"Accuracy, Precision",code_462.py
"pandas, tensorflow, transformers",Text,Scaling,CNN,RMSprop,mean_squared_error,25,16,Validation Split,"Accuracy, Precision",code_463.py
"tensorflow, keras, sklearn",Tabular,Tokenization,CNN,,,20,32,,"Accuracy, Recall",code_464.py
"tensorflow, scikit-learn",Text,Tokenization,RNN,,,10,64,,Accuracy,code_465.py
"tensorflow, keras",Audio,Image Augmentation,Random Forest,Adam,mean_squared_error,18,16,Validation Split,"Precision, Recall",code_466.py
"tensorflow, keras",Image,Image Augmentation,CNN,,,25,64,,Accuracy,code_467.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,CNN,SGD,categorical_crossentropy,10,32,Validation Split,"Accuracy, Recall",code_468.py
"tensorflow, numpy",Tabular,Tokenization,Random Forest,,,20,64,,"Accuracy, Precision",code_469.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,RNN,Adam,categorical_crossentropy,15,64,Cross-Validation,"Precision, Recall",code_470.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,CNN,SGD,categorical_crossentropy,15,64,Cross-Validation,"Precision, Recall",code_471.py
"tensorflow, keras, sklearn",Image,Tokenization,RNN,Adam,mean_squared_error,20,64,Validation Split,"Accuracy, Recall",code_472.py
"tensorflow, keras",Audio,Image Augmentation,Transformer,,,25,16,,Accuracy,code_473.py
"pandas, scikit-learn",Audio,Image Augmentation,Random Forest,Adam,mean_squared_error,15,32,Validation Split,"Accuracy, Precision",code_474.py
"pandas, scikit-learn",Image,Scaling,Transformer,SGD,categorical_crossentropy,18,16,Cross-Validation,"Accuracy, Recall",code_475.py
"tensorflow, keras, sklearn",Image,Tokenization,Transformer,SGD,categorical_crossentropy,18,64,Cross-Validation,"Precision, Recall",code_476.py
"pandas, tensorflow, transformers",Audio,Scaling,Transformer,SGD,mean_squared_error,8,16,Cross-Validation,"Precision, Recall",code_477.py
"pandas, tensorflow, transformers",Text,Tokenization,Random Forest,Adam,mean_squared_error,15,32,Validation Split,Accuracy,code_478.py
"tensorflow, scikit-learn",Audio,Tokenization,Transformer,SGD,mean_squared_error,10,64,Validation Split,Accuracy,code_479.py
"tensorflow, keras",Audio,Image Augmentation,Transformer,,,15,16,,"Accuracy, Recall",code_480.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,,,10,64,,"Precision, Recall",code_481.py
"pandas, tensorflow, transformers",Image,Scaling,Random Forest,SGD,mean_squared_error,10,32,Cross-Validation,"Accuracy, Recall",code_482.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,Transformer,RMSprop,mean_squared_error,20,16,Cross-Validation,"Accuracy, Recall",code_483.py
"tensorflow, keras",Tabular,Tokenization,CNN,,,12,64,,"Accuracy, Precision",code_484.py
"tensorflow, keras",Audio,Image Augmentation,Random Forest,,,12,32,,"Accuracy, Precision",code_485.py
"pandas, tensorflow, transformers",Audio,Scaling,Random Forest,RMSprop,categorical_crossentropy,15,16,Cross-Validation,"Accuracy, Recall",code_486.py
"tensorflow, keras",Text,Tokenization,RNN,,,8,64,,"Accuracy, Recall",code_487.py
"pandas, scikit-learn",Image,Image Augmentation,Random Forest,SGD,mean_squared_error,8,32,Cross-Validation,"Accuracy, Precision",code_488.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Transformer,RMSprop,mean_squared_error,10,32,Validation Split,"Accuracy, Precision",code_489.py
"tensorflow, keras, sklearn",Tabular,Scaling,Transformer,SGD,mean_squared_error,20,16,Validation Split,Accuracy,code_490.py
"tensorflow, keras",Audio,Image Augmentation,RNN,,,15,16,,"Accuracy, Precision",code_491.py
"pandas, tensorflow, transformers",Image,Tokenization,Random Forest,,,8,16,,"Accuracy, Recall",code_492.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,CNN,,,10,16,,Accuracy,code_493.py
"tensorflow, numpy",Audio,Scaling,Transformer,Adam,categorical_crossentropy,20,32,Cross-Validation,Accuracy,code_494.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Transformer,,,25,64,,"Precision, Recall",code_495.py
"pandas, tensorflow, transformers",Text,Image Augmentation,CNN,SGD,mean_squared_error,18,32,Cross-Validation,Accuracy,code_496.py
"pandas, scikit-learn",Text,Scaling,CNN,Adam,categorical_crossentropy,18,16,Validation Split,"Precision, Recall",code_497.py
"tensorflow, numpy",Audio,Image Augmentation,Random Forest,,,18,16,,"Accuracy, Recall",code_498.py
"tensorflow, numpy",Tabular,Scaling,CNN,,,12,16,,"Precision, Recall",code_499.py
"pandas, scikit-learn",Text,Image Augmentation,CNN,RMSprop,mean_squared_error,15,32,Validation Split,"Accuracy, Recall",code_500.py
